ID,committee name
1,12th A.D. Democratic Club
2,12th A.D. Democratic Committee
3,12th Assembly District Chinese American Democratic Club
4,"A Better California, sponsored by Montgomery Advisors (Support Herrera for City Attorney 2009)"
5,"A New San Francisco Majority in Support of the Democratic County Central Committee 2012 of JOHN AVALOS, KAT ANDERSON, DAVID CAMPOS, DAVID CHIU,...[see Attachment A for full list of candidates]"
6,"ADVENT SOFTWARE, INC."
7,"Advent Software, Inc."
8,African American Democratic Club
9,AIRBNB
10,ALAN MARK
11,Alastair Mactaggart
12,Alex Gersznowicz
13,Alice B. Toklas Lesbian & Gay Democratic Club PAC
14,Alice B. Toklas Lesbian and Gay Democratic Club PAC
15,"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR AND BUSINESS ASSOCIATIONS SUPPORTING THERESA SPARKS FOR SUPERVISOR 2010"
16,"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR UNIONS AND BUSINESS ASSOCIATIONS SUPPORTING SCOTT WIENER FOR SUPERVISOR 2010"
17,"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR UNIONS AND BUSINESS ASSOCIATIONS SUPPORTING STEVE MOSS FOR SUPERVISOR 2010"
18,ANGELIQUE GRIEPP
19,Anti-Defamation League
20,Arjun Gupta
21,Arthur C. Patterson
22,ARTHUR KERN
23,Asian American Community Voice
24,Asian American Contractors Association (AACA) PAC
25,Asian Pacific Democratic Club PAC
26,Asian Pacific Democratic Club Political Action Committee
27,"AUTODESK, INC."
28,Avalos for Mayor 2011
29,Bank of America
30,BAY AREA COUNCIL FOUNDATION
31,BAY AREA FIREFIGHTERS PAC FUND OPPOSING MARK FARRELL FOR SUPERVISOR 2010
32,"Bayview Committee for Affordable Housing, A Committee Formed to Support Measure F"
33,Bernal Heights Democratic Club
34,BOSTON PROPERTIES & AFFILIATED ENTITIES
35,BRIDGE Housing Corporation
36,BUILDING OWNERS AND MANAGERS ASSOCIATION (BOMA) INTERNATIONAL
37,BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE - BALLOT ISSUES (AKA BOMA-SF-PAC-BALLOT ISSUES)
38,BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE - INDEPENDENT EXPENDITURES AKA BOMA-SF-PAC-IE
39,BUILDING OWNERS AND MANAGERS ASSOCIATION OF SAN FRANCISCO POLITICAL ACTION COMMITTEE CANDIDATES (AKA BOMA-SF-PAC-CANDIDATE)
40,"Campaign for a Fair Economy and Higher Wages, sponsored by community and labor organizations"
41,CARL E. SCHIERMEYER
42,"CDM SMITH, INC."
43,Cecile Mactaggart
44,"CFRI Market Street Holdings, LLC"
45,CHANGE PAC
46,Charles R. Schwab
47,"Charles Schwab & Co., Inc."
48,Charles Schwab Corporation
49,Children and Family First Committee
50,Chinatown Community Development Center
51,Chinese Progressive Association
52,Choice for Students
53,Choose Health SF
54,CHOOSE HEALTH SF
55,Citizens Against Recall Abuse
56,Citizens for a Better San Francisco
57,"Citizens for Reform Leadership, #1"
58,"Citizens for Reform Leadership, #2"
59,"Citizens for Reform Leadership, #3"
60,"Citizens for Reform Leadership, #4"
61,"Citizens for Reform Leadership, #5"
62,"Citizens for Reform Leadership, #6"
63,CITIZENS FOR RELIABLE WATER AND A HEALTHY ENVIRONMENT
64,"Citizens United for Reform - Yes on B; A coalition of healthcare advocates, taxpayers, labor and neighborhood business"
65,"Citizens United for Reform - Yes on B; A coalition of healthcare advocates, taxpayers, labor, realtors and neighborhood business"
66,"City Residents Opposing Ed Lee for Mayor 2011, sponsored by American Federation of State County and Municipal Employees AFL-CIO and AFSCME CA People"
67,"City Residents Supporting Leland Yee for Mayor 2011, sponsored by American Federation of State County and Municipal Employees AFL-CIO and AFSCME CA People"
68,Clean SF
69,Clinton T. Reilly
70,"Close the Loopholes - Yes on N, Yes on Q"
71,Coalition for a Safer California
72,COALITION FOR BETTER HOUSING ISSUES PAC (CBH ISSUES PAC)
73,Coalition for Civil Sidewalks - Yes on L - No on M 2010
74,"COALITION FOR RENEWABLE ENERGY AND AFFORDABLE WATER RATES, NO ON E. MEMBERS INCLUDE NEIGHBORHOOD GROUPS, BUSINESSES, LABOR AND PACIFIC GAS AND ELECTRIC COMPANY"
75,COALITION FOR SENSIBLE GOVERNMENT
76,COALITION FOR SENSIBLE GOVERNMENT WITH MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS
77,"Coalition for Sustainable Housing, A Committee in Support of Proposition C"
78,Coalition to Protect Golden Gate Park
79,"Coalition to Save City College, Sponsored by Service Employees International Union Local 1021"
80,"COALITION TO STIMULATE THE ECONOMY, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS"
81,"COALITION TO STIMULATE THE ECONOMY, NO ON N, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS"
82,Coleman Action Fund for Children Committee
83,Coleman Advocates for Children & Youth
84,"Committee Against Park Mismanagement, A Committee Opposed to Proposition B"
85,COMMITTEE FOR A BRIGHTER SAN FRANCISCO FUTURE
86,"COMMITTEE FOR A FAIR AND BETTER SAN FRANCISCO, NO ON G"
87,"Committee for a Safer San Francisco, Sharmin Bock for District Attorney 2011"
88,"Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gasc?n for District Attorney 2011"
89,"Committee for a Safer San Francisco; Supporting Sharmin Bock, Opposing George Gascon for District Attorney 2011"
90,Committee for Better Wages
91,Committee for Effective City Management--A Committee in Support of Ed Lee for Mayor 2011
92,"Committee for Parental Choice and Religious Freedom, sponsored by the Jewish Community Relations Council"
93,"Committee for Quality Teachers and Education, Yes on Proposition A"
94,Committee for Real Solutions for Housing -- A Committee Opposed to Proposition F
95,"Committee for Reliable Transportation & Better, Safer Streets"
96,Committee on JOBS Candidate Advocacy Fund
97,Committee on Jobs Candidate Advocacy Fund
98,Committee on JOBS Government Reform Fund
99,Committee on Jobs Government Reform Fund
100,"Committee On Pharmaceutical Equality - COPE/SF, Major Funding by the AIDS Healthcare Foundation"
101,Committee Opposing Forced Male Circumcision
102,Committee to Keep MUNI Accountable - No on P
103,Committee to Pass Laura's Law 2014
104,"COMMITTEE TO PRESERVE RENTAL HOUSING, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS"
105,"COMMITTEE TO PRESERVE RENTAL HOUSING, NO ON F, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS"
106,COMMITTEE TO REBUILD GENERAL HOSPITAL
107,"COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION"
