committee name,Name,Status,Type,FPPCID,PENID,MailingLine1,MailingLine2,MailingCity,MailingState,MailingZip,DisclosureLine1,DisclosureLine2,DisclosureCity,DisclosureState,DisclosurePostalCode,TreasurerFirst,TreasurerLast,TreasurerPrefix,Asst Treasurer First,Asst Treasurer Last,Asst Treasurer Prefix,Cont Cand First,Cont Cand Last,Cont Cand Prefix
12th A.D. Democratic Club,12th A.D. Democratic Club,TERMINATED,General Purpose,1250153,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
12th A.D. Democratic Committee,12th A.D. Democratic Committee,TERMINATED,General Purpose,1283260,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
12th Assembly District Chinese American Democratic Club,12th Assembly District Chinese American Democratic Club,TERMINATED,General Purpose,1249382,,38 Homestead Street,,San Francisco,CA,94114,38 Homestead Street,,San Francisco,CA,94114,Ronald,Jin,,,,,,,
"A Better California, sponsored by Montgomery Advisors (Support Herrera for City Attorney 2009)","A Better California, sponsored by Montgomery Advisors (Support Herrera for City Attorney 2009)",TERMINATED,Primarily Formed Candidate,1257293,,"555 Capitol Mall, Suite 1425",,Sacramento,CA,95814,"1020 12th Street, Suite 408",,Sacramento,CA,95814,Paul,Kinney,,,,,,,
"A New San Francisco Majority in Support of the Democratic County Central Committee 2012 of JOHN AVALOS, KAT ANDERSON, DAVID CAMPOS, DAVID CHIU,...[see Attachment A for full list of candidates]","A New San Francisco Majority in Support of the Democratic County Central Committee 2012 of JOHN AVALOS, KAT ANDERSON, DAVID CAMPOS, DAVID CHIU,...[see Attachment A for full list of candidates]",NR,Primarily Formed Candidate,1347298,,2428 Bayshore Blvd. #110,,San Francisco,CA,94134,2428 Bayshore Blvd. #110,,San Francisco,CA,94134,Nelson,Ly,,,,,,,
"ADVENT SOFTWARE, INC.","ADVENT SOFTWARE, INC.",ANNUAL,Major Donor,Pending,,600 Townsend Street,,San Francisco,CA,94103,600 Townsend Street,,San Francisco,CA,94103,,,,,,,,,
"Advent Software, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
African American Democratic Club,African American Democratic Club,NR,General Purpose,981476,,P.O. Box 884692,,San Francisco,CA,94188,1551 Fillmore Street,,San Francisco,CA,94115,Alpha,Buie,,,,,,,
AIRBNB,AIRBNB,ANNUAL,Major Donor,Pending,,"99 Rhode Island, 2nd Floor",,San Francisco,CA,94103,"99 Rhode Island, 2nd Floor",,San Francisco,CA,94103,Kevin,Heneghan,,,,,,,
ALAN MARK,,,,,,,,,,,,,,,,,,,,,,,,
Alastair Mactaggart,Alastair Mactaggart,ANNUAL,Major Donor,Pending,,"532 Folsom Street, #400",,San Francisco,CA,94105,"532 Folsom Street, #400",,San Francisco,CA,94105,,,,,,,,,
Alex Gersznowicz,Alex Gersznowicz,ANNUAL,Major Donor,Pending,,9 Jade Place,,San Francisco,CA,94131,9 Jade Place,,San Francisco,CA,94131,,,,,,,,,
Alice B. Toklas Lesbian & Gay Democratic Club PAC,,,,,,,,,,,,,,,,,,,,,,,,
Alice B. Toklas Lesbian and Gay Democratic Club PAC,Alice B. Toklas Lesbian and Gay Democratic Club PAC,ACTIVE,General Purpose,842018,,"547 Page Street, #2",,San Francisco,CA,94117,"547 Page Street, #2",,San Francisco,CA,94117,Juan,Cerda,,Reese,Isbell,,,,
"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR AND BUSINESS ASSOCIATIONS SUPPORTING THERESA SPARKS FOR SUPERVISOR 2010",,,,,,,,,,,,,,,,,,,,,,,,
"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR UNIONS AND BUSINESS ASSOCIATIONS SUPPORTING SCOTT WIENER FOR SUPERVISOR 2010",,,,,,,,,,,,,,,,,,,,,,,,
"ALLIANCE FOR JOBS AND SUSTAINABLE GROWTH, A COALITION OF LABOR UNIONS AND BUSINESS ASSOCIATIONS SUPPORTING STEVE MOSS FOR SUPERVISOR 2010",,,,,,,,,,,,,,,,,,,,,,,,
ANGELIQUE GRIEPP,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Defamation League,Anti-Defamation League,ANNUAL,Major Donor,Pending,,605 3rd Avenue,,New York,NY,10158,605 3rd Avenue,,New York,NY,10158,Steven,Sheinberg,,,,,,,
Arjun Gupta,Arjun Gupta,ANNUAL,Major Donor,Pending,,"c/o Telesoft Partners 950 Tower Lane, Suite 1600",,San Mateo,CA,94404,"c/o Telesoft Partners 950 Tower Lane, Suite 1600",,San Mateo,CA,94404,,,,,,,,,
Arthur C. Patterson,Arthur C. Patterson,ANNUAL,Major Donor,1232857,,428 University Avenue,,Palo Alto,CA,94301,428 University Avenue,,Palo Alto,CA,94301,,,,,,,,,
ARTHUR KERN,,,,,,,,,,,,,,,,,,,,,,,,
Asian American Community Voice,Asian American Community Voice,TERMINATED,General Purpose,1260171,,"334 Kearny Street, #300",,San Francisco,CA,94108,"334 Kearny Street, #300",,San Francisco,CA,94108,Stephen,Loo,,,,,,,
Asian American Contractors Association (AACA) PAC,Asian American Contractors Association (AACA) PAC,TERMINATED,General Purpose,1312617,,1649 Jerrold Avenue,,San Francisco,CA,94124,1649 Jerrold Avenue,,San Francisco,CA,94124,Yum,Jung,,,,,,,
